map{ id = "0000", description = "Title screen hack" }
map{ id = "_stage/before_catacombs", description = "Before catacombs" }
map{ id = "_stage/catacombs", description = "Tunnel" }
map{ id = "_stage/catacombs2", description = "Catacombs" }
map{ id = "_stage/catacombs_dungeon", description = "Catacombs dungeon" }
map{ id = "_stage/catacombs_entrance", description = "Catacombs entrance" }
map{ id = "_stage/catacombs_maze/1", description = "Map 1" }
map{ id = "_stage/catacombs_maze/2", description = "Map 2" }
map{ id = "_stage/catacombs_maze/3", description = "Map 3" }
map{ id = "_stage/catacombs_maze/4", description = "Map 4" }
map{ id = "_stage/catacombs_maze/5", description = "Map 5" }
map{ id = "_stage/catacombs_maze/6", description = "Map 6" }
map{ id = "_stage/catacombs_maze/7", description = "Map 7" }
map{ id = "_stage/cave_after_evolv", description = "Cave After Evolv" }
map{ id = "_stage/excavation", description = "Excavation map" }
map{ id = "_stage/final_map", description = "_stage/final_map" }
map{ id = "_stage/gandhi", description = "Gandhi room" }
map{ id = "_stage/gift_shop", description = "Gift shop" }
map{ id = "_stage/greybeard_intro", description = "Greybeard intro" }
map{ id = "_stage/log_puzzles/map1" }
map{ id = "_stage/log_puzzles/map2" }
map{ id = "_stage/mirror_room", description = "Mirror room" }
map{ id = "_stage/new_stick", description = "New stick map" }
map{ id = "_stage/pool", description = "Pool" }
map{ id = "_stage/red_light", description = "Red Light Green Light Room" }
map{ id = "_stage/underground_river", description = "Underground river" }
map{ id = "_test/adaptative_outline", description = "Adaptative outlines" }
map{ id = "_test/bigmap", description = "A big map bigger than the screen" }
map{ id = "_test/catacombs/catacombs_demo", description = "Catacombs demo" }
map{ id = "_test/cave", description = "Cave" }
map{ id = "_test/coco", description = "Coconut rock test" }
map{ id = "_test/coco_npc_follower", description = "Coco NPC Follower" }
map{ id = "_test/dialog_box", description = "Dialog box test" }
map{ id = "_test/flag", description = "Flag" }
map{ id = "_test/gears", description = "Gears Test Map" }
map{ id = "_test/item_star", description = "Item star" }
map{ id = "_test/masks", description = "Masks test" }
map{ id = "_test/mirrors", description = "Mirrors" }
map{ id = "_test/pipes", description = "A map test for pipes" }
map{ id = "_test/theater", description = "Theater" }
map{ id = "_test/theater2", description = "Theater 2" }
map{ id = "_test/volcano", description = "Volcano Test" }
map{ id = "_test/wood_log", description = "A field of wood logs" }
map{ id = "_unused/caves/cave", description = "Beach/forest connection" }
map{ id = "_unused/caves/dungeon_path", description = "Path to water dungeon" }
map{ id = "_unused/forest/forest", description = "Forest" }
map{ id = "_unused/forest/tree", description = "Tree" }
map{ id = "_unused/orange_peel", description = "Orange Peel Shrine" }
map{ id = "_unused/water_dungeon/1", description = "Water Dungeon Room 1" }
map{ id = "_unused/water_dungeon/2", description = "Water Dungeon Room 2" }
map{ id = "_unused/water_dungeon/3", description = "Water Dungeon Room 3" }
map{ id = "_unused/water_dungeon/courtyard", description = "Water Dungeon Courtyard" }
map{ id = "_unused/water_dungeon/hallway", description = "Water Dungeon Hallway" }
map{ id = "_unused/woods", description = "Woods" }
map{ id = "beach/bar", description = "Bar" }
map{ id = "beach/cave1", description = "Cave 1" }
map{ id = "beach/dungeon1", description = "Dungeon 1: Plant Storeroom" }
map{ id = "beach/extra_house", description = "Extra beach house" }
map{ id = "beach/pig_houses/1", description = "Pig House 1" }
map{ id = "beach/pig_houses/2", description = "Pig House 2" }
map{ id = "beach/plant_shop", description = "Plant shop" }
map{ id = "beach/teepee", description = "Rachels teepee" }
map{ id = "castle/entrance", description = "Castle entrance" }
map{ id = "castle/final", description = "Greybeard final room" }
map{ id = "castle/hospital", description = "Hospital" }
map{ id = "castle/rebel_house", description = "Rebel house" }
map{ id = "debug", description = "Debug map" }
map{ id = "evolv/foyer", description = "EVOLV HQ foyer" }
map{ id = "highlands/theater", description = "Theater" }
map{ id = "overworld", description = "Overworld" }
map{ id = "woods/claudias_house", description = "Claudias cave" }
map{ id = "woods/dungeon2", description = "Witch's cellar" }
map{ id = "woods/hideout", description = "Hideout" }
map{ id = "woods/house", description = "Activist house" }
map{ id = "woods/witch_hut", description = "Witch hut" }

tileset{ id = "voadi", description = "VOADI" }
tileset{ id = "voadi_catacombs", description = "Catacombs" }
tileset{ id = "voadi_lab", description = "Lab" }
tileset{ id = "voadi_theater", description = "Theater" }
tileset{ id = "voadi_volcano", description = "Volcano" }
tileset{ id = "zoria", description = "Zoria" }
tileset{ id = "zoria_house_beach", description = "Zoria House (beach)" }
tileset{ id = "zoria_house_blue", description = "Zoria House (blue)" }
tileset{ id = "zoria_house_red", description = "Zoria House (red)" }
tileset{ id = "zoria_house_wood", description = "Zoria House (wood)" }
tileset{ id = "zoria_underworld_bluegreen", description = "Zoria Underworld (blue-green)" }
tileset{ id = "zoria_underworld_castle", description = "Zoria Underworld (castle)" }

sprite{ id = "animals/beaver", description = "Beaver" }
sprite{ id = "animals/chicken", description = "Chicken" }
sprite{ id = "animals/chimp", description = "Chimp" }
sprite{ id = "animals/cow", description = "Cow" }
sprite{ id = "animals/flamingo", description = "Flamingo" }
sprite{ id = "animals/fox", description = "Fox" }
sprite{ id = "animals/lion", description = "Lion" }
sprite{ id = "animals/mosquito", description = "Mosquito" }
sprite{ id = "animals/pig", description = "Pig" }
sprite{ id = "animals/sea_turtle", description = "Sea turtle" }
sprite{ id = "animals/seagull", description = "Seagull" }
sprite{ id = "animals/seagull_bartender", description = "Seagull bartender" }
sprite{ id = "animals/seagull_scientist", description = "Seagull scientist" }
sprite{ id = "animals/seagull_trash1", description = "Seagull - Trash 1" }
sprite{ id = "animals/seagull_trash2", description = "Seagull - Trash 2" }
sprite{ id = "animals/seagull_trash3", description = "Seagull - Trash 3" }
sprite{ id = "animals/seagull_trash4", description = "Seagull - Trash 4" }
sprite{ id = "animals/sheep", description = "Sheep" }
sprite{ id = "animals/sheep_wolf", description = "Wolf in Sheep's Clothing" }
sprite{ id = "animals/squirrel", description = "Squirrel" }
sprite{ id = "animals/wolf", description = "Wolf" }
sprite{ id = "darkness/entities/cave/entry", description = "Cave Darkness Entry" }
sprite{ id = "darkness/entities/cave/hole", description = "Cave Darkness Hole" }
sprite{ id = "darkness/entities/cave/inner_corner_down_left", description = "Cave Darkness Inner Corner Down Left" }
sprite{ id = "darkness/entities/cave/inner_corner_down_right", description = "Cave Darkness Inner Corner Down Right" }
sprite{ id = "darkness/entities/cave/inner_corner_up_left", description = "Cave Darkness Inner Corner Up Left" }
sprite{ id = "darkness/entities/cave/inner_corner_up_right", description = "Cave Darkness Inner Corner Up Right" }
sprite{ id = "darkness/entities/cave/outer_corner_down_left", description = "Outer Corner Down Left" }
sprite{ id = "darkness/entities/cave/outer_corner_down_right", description = "Cave Darkness Outer Corner Down Right" }
sprite{ id = "darkness/entities/cave/outer_corner_up_left", description = "Cave Darkness Outer Corner Up Left" }
sprite{ id = "darkness/entities/cave/outer_corner_up_right", description = "Cave Darkness Outer Corner Up Right" }
sprite{ id = "darkness/entities/cave/rock", description = "Cave Darkness Rock" }
sprite{ id = "darkness/entities/cave/rock_on_water", description = "Cave Darkness Rock on Water" }
sprite{ id = "darkness/entities/cave/stairs", description = "Cave Darkness Stairs" }
sprite{ id = "darkness/entities/cave/wall_down", description = "Cave Darkness Wall Down" }
sprite{ id = "darkness/entities/cave/wall_left", description = "Cave Darkness Wall Left" }
sprite{ id = "darkness/entities/cave/wall_right", description = "Cave Darkness Wall Right" }
sprite{ id = "darkness/entities/cave/wall_up", description = "Cave Darkness Wall Up" }
sprite{ id = "darkness/entities/chest", description = "Chest darkness" }
sprite{ id = "darkness/entities/chest_collectible", description = "Collectible chest darkness" }
sprite{ id = "darkness/entities/torch", description = "Torch darkness" }
sprite{ id = "darkness/hero/tunic1", description = "Hero darkness" }
sprite{ id = "entities/barrel1", description = "Barrel 1" }
sprite{ id = "entities/barrel2", description = "Barrel 2" }
sprite{ id = "entities/beach_ball", description = "Beach ball" }
sprite{ id = "entities/big_chest", description = "Big chest" }
sprite{ id = "entities/block", description = "Block" }
sprite{ id = "entities/block/any", description = "Block (any)" }
sprite{ id = "entities/block/down", description = "Block (down)" }
sprite{ id = "entities/block/horizontal", description = "Block (horizontal)" }
sprite{ id = "entities/block/left", description = "Block (left)" }
sprite{ id = "entities/block/right", description = "Block (right)" }
sprite{ id = "entities/block/up", description = "Block (up)" }
sprite{ id = "entities/block/vertical", description = "Block (vertical)" }
sprite{ id = "entities/bush_dandelion", description = "Dandelion" }
sprite{ id = "entities/bush_flowers_blue", description = "Flower bush (blue)" }
sprite{ id = "entities/bush_flowers_orange", description = "Flower bush (orange)" }
sprite{ id = "entities/bush_flowers_pink", description = "Flower bush (pink)" }
sprite{ id = "entities/bush_flowers_white", description = "Flower bush (white)" }
sprite{ id = "entities/bush_kingscrown", description = "Kings crown bush" }
sprite{ id = "entities/bush_violet", description = "Violet" }
sprite{ id = "entities/cattail", description = "Cattail Plant" }
sprite{ id = "entities/cave/entry", description = "Cave Entry" }
sprite{ id = "entities/cave/hole", description = "Cave Hole" }
sprite{ id = "entities/cave/inner_corner_down_left", description = "Cave Inner Corner Down Left" }
sprite{ id = "entities/cave/inner_corner_down_right", description = "Cave Inner Corner Down Right" }
sprite{ id = "entities/cave/inner_corner_up_left", description = "Cave Inner Corner Up Left" }
sprite{ id = "entities/cave/inner_corner_up_right", description = "Cave Inner Corner Up Right" }
sprite{ id = "entities/cave/outer_corner_down_left", description = "Cave Outer Corner Down Left" }
sprite{ id = "entities/cave/outer_corner_down_right", description = "Cave Outer Corner Down Right" }
sprite{ id = "entities/cave/outer_corner_up_left", description = "Cave Outer Corner Up Left" }
sprite{ id = "entities/cave/outer_corner_up_right", description = "Cave Outer Corner Up Right" }
sprite{ id = "entities/cave/rock", description = "Cave Rock" }
sprite{ id = "entities/cave/rock_on_water", description = "Cave Rock on Water" }
sprite{ id = "entities/cave/stairs", description = "Cave Stairs" }
sprite{ id = "entities/cave/wall_down", description = "Cave Wall Down" }
sprite{ id = "entities/cave/wall_left", description = "Cave Wall Left " }
sprite{ id = "entities/cave/wall_right", description = "Cave Wall Right" }
sprite{ id = "entities/cave/wall_up", description = "Cave Wall Up" }
sprite{ id = "entities/chest", description = "Chest" }
sprite{ id = "entities/chest_collectible", description = "Chest (collectible)" }
sprite{ id = "entities/conveyor_belt", description = "Conveyor belt" }
sprite{ id = "entities/crystal", description = "Crystal" }
sprite{ id = "entities/crystal_block", description = "Crystal block" }
sprite{ id = "entities/door/gate_north", description = "Gate (north)" }
sprite{ id = "entities/door/gate_south", description = "Gate (south)" }
sprite{ id = "entities/door/gold_north", description = "Gold (north)" }
sprite{ id = "entities/door/gold_south", description = "Gold (south)" }
sprite{ id = "entities/door/lock_north", description = "Lock (north)" }
sprite{ id = "entities/door/lock_south", description = "Lock (south)" }
sprite{ id = "entities/dug_ground", description = "Dug ground" }
sprite{ id = "entities/dungeon_bats", description = "Dungeon bats" }
sprite{ id = "entities/explosion", description = "Explosion (mushroom cloud)" }
sprite{ id = "entities/flag", description = "Flag" }
sprite{ id = "entities/flower", description = "Flower" }
sprite{ id = "entities/gear", description = "Gear" }
sprite{ id = "entities/gear_orange", description = "Gear (orange)" }
sprite{ id = "entities/gear_pedestal", description = "Gear pedestal" }
sprite{ id = "entities/gear_pedestal_orange", description = "Gear pedestal (orange)" }
sprite{ id = "entities/gravestone", description = "Gravestone" }
sprite{ id = "entities/items", description = "Items" }
sprite{ id = "entities/keyhole_block", description = "Keyhole block" }
sprite{ id = "entities/light_receiver", description = "Light Receiver" }
sprite{ id = "entities/light_source", description = "Light Source" }
sprite{ id = "entities/masks/lion", description = "Lion mask" }
sprite{ id = "entities/masks/sheep", description = "Sheep mask" }
sprite{ id = "entities/maze_tile", description = "Maze tile" }
sprite{ id = "entities/mirror", description = "Mirror" }
sprite{ id = "entities/orange_peel", description = "Orange Peels" }
sprite{ id = "entities/outside_door", description = "Outside closed door" }
sprite{ id = "entities/pilea", description = "Pilea plant" }
sprite{ id = "entities/pipe", description = "Pipe" }
sprite{ id = "entities/plant", description = "Plant" }
sprite{ id = "entities/plant2", description = "Tall grass" }
sprite{ id = "entities/rafflesia-large", description = "Rafflesia (large)" }
sprite{ id = "entities/rafflesia-small", description = "Rafflesia (small)" }
sprite{ id = "entities/rock", description = "Rock" }
sprite{ id = "entities/shadow", description = "Shadow" }
sprite{ id = "entities/sign", description = "Sign" }
sprite{ id = "entities/spotlight", description = "Spotlight" }
sprite{ id = "entities/statue", description = "Statue" }
sprite{ id = "entities/switch", description = "Switch" }
sprite{ id = "entities/tall_grass/field_1", description = "Field 1" }
sprite{ id = "entities/tall_grass/field_2", description = "Field 2" }
sprite{ id = "entities/tall_grass/field_3", description = "Field 3" }
sprite{ id = "entities/tall_grass/field_4", description = "Field 4" }
sprite{ id = "entities/tall_grass/field_5", description = "Field 5" }
sprite{ id = "entities/tall_grass/field_6", description = "Field 6" }
sprite{ id = "entities/tall_grass/field_7", description = "Field 7" }
sprite{ id = "entities/tall_grass/field_8", description = "Field 8" }
sprite{ id = "entities/tall_grass/field_9", description = "Field 9" }
sprite{ id = "entities/tall_grass/horizontal_1", description = "Horizontal 1" }
sprite{ id = "entities/tall_grass/horizontal_2", description = "Horizontal 2" }
sprite{ id = "entities/tall_grass/horizontal_3", description = "Horizontal 3" }
sprite{ id = "entities/tall_grass/single", description = "Single" }
sprite{ id = "entities/tall_grass/vertical_1", description = "Vertical 1" }
sprite{ id = "entities/tall_grass/vertical_2", description = "Vertical 2" }
sprite{ id = "entities/tall_grass/vertical_3", description = "Vertical 3" }
sprite{ id = "entities/tall_grass_swamp/field_1", description = "Field 1" }
sprite{ id = "entities/tall_grass_swamp/field_2", description = "Field 2" }
sprite{ id = "entities/tall_grass_swamp/field_3", description = "Field 3" }
sprite{ id = "entities/tall_grass_swamp/field_4", description = "Field 4" }
sprite{ id = "entities/tall_grass_swamp/field_5", description = "Field 5" }
sprite{ id = "entities/tall_grass_swamp/field_6", description = "Field 6" }
sprite{ id = "entities/tall_grass_swamp/field_7", description = "Field 7" }
sprite{ id = "entities/tall_grass_swamp/field_8", description = "Field 8" }
sprite{ id = "entities/tall_grass_swamp/field_9", description = "Field 9" }
sprite{ id = "entities/tall_grass_swamp/horizontal_1", description = "Horizontal 1" }
sprite{ id = "entities/tall_grass_swamp/horizontal_2", description = "Horizontal 2" }
sprite{ id = "entities/tall_grass_swamp/horizontal_3", description = "Horizontal 3" }
sprite{ id = "entities/tall_grass_swamp/single", description = "Single" }
sprite{ id = "entities/tall_grass_swamp/vertical_1", description = "Vertical 1" }
sprite{ id = "entities/tall_grass_swamp/vertical_2", description = "Vertical 2" }
sprite{ id = "entities/tall_grass_swamp/vertical_3", description = "Vertical 3" }
sprite{ id = "entities/torch", description = "Torch" }
sprite{ id = "entities/trash1", description = "Trash 1" }
sprite{ id = "entities/trash2", description = "Trash 2" }
sprite{ id = "entities/trash3", description = "Trash 3" }
sprite{ id = "entities/trash4", description = "Trash 4" }
sprite{ id = "entities/trash5", description = "Trash 5" }
sprite{ id = "entities/trash6", description = "Trash 6" }
sprite{ id = "entities/vase", description = "Vase" }
sprite{ id = "entities/vase_plant", description = "Vase plant" }
sprite{ id = "entities/vase_red", description = "Vase (red)" }
sprite{ id = "entities/wood_log", description = "Wood log" }
sprite{ id = "hero/bed", description = "Rachel bed" }
sprite{ id = "hero/ground1", description = "Grass" }
sprite{ id = "hero/ground2", description = "Shallow water under hero" }
sprite{ id = "hero/sword1", description = "hero/sword1" }
sprite{ id = "hero/tunic1", description = "Rachel" }
sprite{ id = "hero/tunic1-climbing", description = "Rachel Climbing" }
sprite{ id = "hud/dialog_box_message_end", description = "hud/dialog_box_message_end" }
sprite{ id = "hud/hud", description = "HUD" }
sprite{ id = "menus/button_red_left", description = "Left side of a red button" }
sprite{ id = "menus/button_red_middle", description = "Middle part of a red button" }
sprite{ id = "menus/button_red_right", description = "Right part of red button" }
sprite{ id = "menus/cursor", description = "Cursor" }
sprite{ id = "menus/dialog_bg", description = "Dialog BG" }
sprite{ id = "menus/dialog_photo_frame", description = "Dialog photo frame" }
sprite{ id = "menus/dialog_photos", description = "Dialog tiles" }
sprite{ id = "menus/equip_frame", description = "Equip frame" }
sprite{ id = "menus/exclamation_bubble", description = "Exclamation bubble" }
sprite{ id = "menus/id_card/card", description = "Card" }
sprite{ id = "menus/id_card/logo", description = "Logo" }
sprite{ id = "menus/intro/beach_foam", description = "Beach foam" }
sprite{ id = "menus/intro/boat", description = "Boat" }
sprite{ id = "menus/intro/box", description = "Box" }
sprite{ id = "menus/intro/cloud_large", description = "Cloud (large)" }
sprite{ id = "menus/intro/cloud_small", description = "Cloud (small)" }
sprite{ id = "menus/intro/dot", description = "Dot" }
sprite{ id = "menus/intro/envelope", description = "Envelope" }
sprite{ id = "menus/intro/island_bg", description = "Island BG" }
sprite{ id = "menus/intro/letter", description = "Letter" }
sprite{ id = "menus/intro/little_boat", description = "Little boat" }
sprite{ id = "menus/intro/ocean_shine", description = "Ocean shine" }
sprite{ id = "menus/intro/ok", description = "OK" }
sprite{ id = "menus/intro/ok_bubble", description = "OK bubble" }
sprite{ id = "menus/intro/rachel_arm", description = "Arm" }
sprite{ id = "menus/intro/rachel_eyes", description = "Eyes" }
sprite{ id = "menus/intro/rachel_large", description = "Rachel (large)" }
sprite{ id = "menus/intro/thought_bubble", description = "Thought bubble" }
sprite{ id = "menus/item_star", description = "Item star BG" }
sprite{ id = "menus/menu_bg", description = "Menu BG" }
sprite{ id = "menus/outro/boat1", description = "Boat 1" }
sprite{ id = "menus/outro/cloud_big", description = "Cloud big" }
sprite{ id = "menus/outro/cloud_left", description = "Cloud left" }
sprite{ id = "menus/outro/cloud_right", description = "Cloud right" }
sprite{ id = "menus/outro/cloud_small", description = "Cloud small" }
sprite{ id = "menus/outro/island", description = "Island" }
sprite{ id = "menus/outro/little_boat", description = "Little boat" }
sprite{ id = "menus/outro/ocean1", description = "Ocean 1" }
sprite{ id = "menus/outro/ocean2", description = "Ocean 2" }
sprite{ id = "menus/outro/ocean_shine", description = "Ocean shine" }
sprite{ id = "menus/outro/rachel", description = "Rachel" }
sprite{ id = "menus/outro/shore", description = "Shore" }
sprite{ id = "menus/outro/stars", description = "Stars" }
sprite{ id = "menus/outro/sun1", description = "Sun 1" }
sprite{ id = "menus/outro/sun2", description = "Sun 2" }
sprite{ id = "menus/outro/sun3", description = "Sun 3" }
sprite{ id = "menus/pointer", description = "Hand pointer" }
sprite{ id = "menus/press_start", description = "Press Start" }
sprite{ id = "menus/solarus_logo", description = "Solarus logo" }
sprite{ id = "menus/spotlight", description = "Spotlight" }
sprite{ id = "menus/spotlight_black", description = "Spotlight (black)" }
sprite{ id = "menus/stuff_bg", description = "Stuff BG" }
sprite{ id = "menus/thinking", description = "Thinking bubble" }
sprite{ id = "menus/tool_select_bg", description = "Tool select BG" }
sprite{ id = "npc/angry_toast", description = "Angry Toast" }
sprite{ id = "npc/billie", description = "Billie" }
sprite{ id = "npc/gnu", description = "Gnu" }
sprite{ id = "npc/greybeard", description = "Greybeard" }
sprite{ id = "npc/greybeard_log", description = "Greybeard with log" }
sprite{ id = "npc/malcolm", description = "Malcolm" }
sprite{ id = "npc/martini", description = "Martini" }
sprite{ id = "npc/mimosa_pudica", description = "Mimosa pudica" }
sprite{ id = "npc/soyboy", description = "Soyboy" }
sprite{ id = "npc/twink", description = "Twink" }

music{ id = "adam/melody-1", description = "Melody 1" }
music{ id = "alex/cave", description = "Cave" }
music{ id = "alex/desert", description = "Desert" }
music{ id = "alex/desert-military-base", description = "Desert Military Base" }
music{ id = "alex/rush", description = "Rush" }
music{ id = "avgvst/09 - Z 339 - Here the Deities approve", description = "Here the Deities approve" }
music{ id = "cosmicgem829/bar", description = "Bar" }
